Id,Price
725,158205.77457954787
15856,256048.9894736982
5480,135499.69319887046
15664,295595.47080265556
14275,132036.72193540927
7633,200513.55035187057
13329,153607.33958369563
5502,219619.1517820318
4220,305536.81305841287
11538,201400.29891793072
15975,262135.56191240158
3310,208352.72056433966
9286,144483.79491170633
11260,188978.3767903591
5214,116572.43062135187
11307,184452.25093096722
13543,390000.773201812
615,161738.67609389077
3495,197779.98816063703
2321,235085.7742083837
12046,223876.78875452527
16688,137542.524198544
12694,210624.10139491927
783,148610.0487446981
8968,163925.9248735341
13454,172268.7979886226
12190,223775.96933567172
11160,108679.9707953666
10291,190446.36334283525
891,281330.30568730267
2982,184238.8617296937
3818,279272.3370317386
2449,177837.3457338976
8317,168452.7086837204
4922,174227.04210611657
1257,246398.70946636933
9348,205594.24266072045
4176,173544.78025346732
10704,166280.0913938759
6624,109257.41690303008
5428,177302.478418455
12749,172052.46883781784
8994,225533.0422563474
11513,134975.3896036981
3047,215340.9785084197
9519,215339.7633413968
12309,267810.05610309
14081,260699.89439148136
8334,267013.0859840055
6343,181224.40981460412
14788,125537.55939044095
15748,254115.96297486665
153,232601.76771512185
14149,183721.772364203
269,180753.48069959605
5452,106104.69541184265
721,144016.32619710098
5079,299760.13302990014
2831,145565.57795571402
10614,120823.85852333976
10131,327168.77084543504
9996,301322.52037204435
3061,198106.16913245688
11733,314122.99325695005
3726,237511.23194585482
10929,213530.07071827506
9011,190459.83101132687
16182,268604.78851958865
4976,164517.69976996165
9897,226155.0651977312
1872,178425.28256273668
9205,344169.0704440803
5403,406619.052721072
14074,168825.31960803058
6268,152763.49035497056
14232,177803.06149800558
8532,209316.46188067473
7034,369144.09403401247
6553,498091.2264201665
3133,156885.36326967648
8596,190780.4769973215
12389,235697.15356964417
14462,179475.6841792511
8860,341552.8273647993
8377,283092.69456644217
6367,338197.2730641126
6917,249478.23750107002
4216,209450.03769956116
5806,170215.9929801817
5438,171121.66731552998
6632,222222.62699916898
2650,153835.71075494724
5396,164668.54873944397
4044,152763.85734232506
1345,259723.84945533398
856,165972.4880886991
12791,259631.63228907908
12499,210473.29390538536
12249,131363.55592028072
14641,155703.088686947
